Chromosome	MidPoint	GeneID	PFAMDomain	EValue	DupClass	Strand
9	19943325	8357.M03131	PF00646	2.4e-09	D	+
10	10834062	8362.M01657	PF05754	2.8e-17	S	+
10	12303523	8362.M01881	PF02037	1.6e-06	S	-
10	13460707	8362.M02036	PF00646	4.1e-06	D	-
10	19479569	8362.M03019	PF00646	2.6e-04	D	+
11	542117	8358.M00102	PF05754	1.5e-04	S	+
11	1434251	8358.M00267	PF00646	1.1e-10	D	+
11	1440283	8358.M00269	PF00856	9.8e-47	D	-
11	1615575	8358.M00299	PF00400	4.0e-06	D	-
11	1615575	8358.M00299	PF00400	4.5e-08	D	-
11	1797685	8358.M00332	PF00646	2.0e-06	D	+
11	2227349	8358.M00412	PF00515	6.3e-05	D	+
11	2554476	8358.M00473	PF00646	5.5e-07	D	-
11	3131719	8358.M00557	PF00646	3.9e-06	D	-
11	3807618	8358.M00666	PF00400	1.1e-06	D	+
11	4149887	8358.M00718	PF00646	3.8e-04	S	-
11	4380628	8358.M00756	PF00400	2.8e-10	D	-
11	4380628	8358.M00756	PF00400	1.6e-09	D	-
11	4380628	8358.M00756	PF00400	6.4e-08	D	-
11	5484167	8358.M00926	PF07172	3.2e-28	S	+
11	10307481	8358.M01652	PF05754	2.7e-15	S	-
11	21017403	8358.M03327	PF05754	2.1e-06	S	-
12	1323757	8359.M00244	PF00646	6.7e-11	D	+
12	1334536	8359.M00246	PF00856	1.4e-44	D	-
12	1334536	8359.M00246	PF02953	5.1e-18	D	-
12	1538618	8359.M00281	PF00400	3.5e-07	D	-
12	1538618	8359.M00281	PF00400	4.5e-08	D	-
12	1708725	8359.M00312	PF00646	3.1e-06	D	+
12	2213021	8359.M00409	PF00515	1.6e-04	D	+
12	3156619	8359.M00560	PF00646	1.3e-07	D	-
12	3349937	8359.M00595	PF02037	1.3e-06	S	-
12	3617573	8359.M00644	PF00400	4.6e-07	D	-
12	3928205	8359.M00687	PF00400	6.4e-08	D	-
12	3928205	8359.M00687	PF00400	1.4e-08	D	-
12	19211613	8359.M03083	PF00646	1.4e-04	S	-
12	22357844	8359.M03544	PF00849	2.2e-23	S	-
12	22490201	8359.M03565	PF02996	8.8e-28	S	+
12	22656782	8359.M03592	PF05347	8.5e-04	S	-
12	24296143	8359.M03838	PF00400	3.8e-06	D	+
12	24296143	8359.M03838	PF00400	7.5e-04	D	+
12	24296143	8359.M03838	PF00400	1.0e-05	D	+
12	24296143	8359.M03838	PF00400	8.3e-08	D	+
12	24992652	8359.M03942	PF00646	3.4e-06	S	-
12	25134220	8359.M03973	PF00400	6.6e-04	S	+
12	25138433	8359.M03974	PF00646	1.8e-06	D	-
12	25510123	8359.M04028	PF00400	8.1e-05	S	+
12	25510123	8359.M04028	PF00400	3.4e-05	S	+
