ModelFeatName	Chromosome	MidPoint	Strand
8350.m05196	1	31868282	+
8350.m05197	1	31873597	-
8350.m05198	1	31877865	-
8350.m01990	1	12181951	-
8350.m05199	1	31881274	+
8350.m01991	1	12188118	+
8350.m01992	1	12191440	-
8350.m01993	1	12201557	-
8350.m01994	1	12206181	-
8350.m01995	1	12213385	-
8350.m01996	1	12216733	+
8350.m01997	1	12218930	-
8350.m01998	1	12221037	-
8350.m01999	1	12227663	-
8350.m04540	1	28080238	-
8350.m04541	1	28088956	+
8350.m04542	1	28093390	+
8350.m04543	1	28099519	+
8350.m01200	1	7183542	-
8350.m04544	1	28104934	+
8350.m01201	1	7197974	+
8350.m04545	1	28108752	+
8350.m01202	1	7207759	-
8350.m04546	1	28111574	-
8350.m01203	1	7209543	-
8350.m04547	1	28116908	+
8350.m01204	1	7212464	-
8350.m01205	1	7218016	-
8350.m04549	1	28125302	+
8350.m01206	1	7233079	-
8350.m01207	1	7237121	+
8350.m01208	1	7248008	+
8350.m01209	1	7256930	+
8350.m04550	1	28134157	+
8350.m04551	1	28140522	-
8350.m04552	1	28150761	+
8350.m04553	1	28154313	-
8350.m01210	1	7260214	+
8350.m04554	1	28157930	-
8350.m01211	1	7265314	+
8350.m04555	1	28163063	-
8350.m01212	1	7273777	+
8350.m04556	1	28167292	-
8350.m01213	1	7275787	-
8350.m04557	1	28170585	-
8350.m01214	1	7278946	+
8350.m04558	1	28189075	+
8350.m01215	1	7283822	-
8350.m04559	1	28191563	-
8350.m01216	1	7288209	+
8350.m01217	1	7294982	+
8350.m01218	1	7299846	+
8350.m01219	1	7305675	-
8350.m03900	1	23854248	-
8350.m03901	1	23876742	+
8350.m03902	1	23880138	-
8350.m03903	1	23886813	-
8350.m04560	1	28202967	-
8350.m03904	1	23899166	-
8350.m04561	1	28209021	+
8350.m03905	1	23903645	+
8350.m04562	1	28211615	-
8350.m03906	1	23906204	-
8350.m04563	1	28217549	+
8350.m03907	1	23908252	-
8350.m01220	1	7325367	+
8350.m04564	1	28226809	-
8350.m03908	1	23916065	+
8350.m01221	1	7333872	+
8350.m04565	1	28229647	+
8350.m03909	1	23922868	+
8350.m04566	1	28238213	-
8350.m01223	1	7339748	+
8350.m04567	1	28249195	-
8350.m01224	1	7343226	-
8350.m04568	1	28255054	-
8350.m01225	1	7347044	+
8350.m04569	1	28262003	+
8350.m01226	1	7351723	-
8350.m01227	1	7361762	-
8350.m01228	1	7368802	-
8350.m01229	1	7372888	+
8350.m03910	1	23928142	-
8350.m03911	1	23934767	-
8350.m03912	1	23940516	-
8350.m03913	1	23945459	-
8350.m04570	1	28265840	+
8350.m03914	1	23957927	+
8350.m03915	1	23963228	+
8350.m04572	1	28270616	-
8350.m03916	1	23967833	-
8350.m04573	1	28277317	-
8350.m03917	1	23971591	+
8350.m01230	1	7376766	-
8350.m04574	1	28280577	-
8350.m03918	1	23975374	+
8350.m01231	1	7383811	+
8350.m04575	1	28284782	+
8350.m03919	1	23979578	-
8350.m01232	1	7388193	-
8350.m04576	1	28287736	-
8350.m01233	1	7398525	+
8350.m04577	1	28294341	-
8350.m01234	1	7403761	-
8350.m04578	1	28298612	+
8350.m01235	1	7409292	-
8350.m04579	1	28302359	+
8350.m01236	1	7417601	+
8350.m01237	1	7422745	-
8350.m01238	1	7427141	+
8350.m01239	1	7429702	-
8350.m03920	1	23981848	-
8350.m03921	1	23987689	-
8350.m03922	1	24005576	+
8350.m03923	1	24012358	+
8350.m04580	1	28307855	+
8350.m03924	1	24019479	-
8350.m04581	1	28309634	+
8350.m03925	1	24023376	-
8350.m04582	1	28311435	+
8350.m03926	1	24025859	+
8350.m04583	1	28316709	+
8350.m03927	1	24033070	+
8350.m01240	1	7435581	+
8350.m04584	1	28321312	+
8350.m03928	1	24041056	+
8350.m01241	1	7438175	-
8350.m04585	1	28323324	-
8350.m03929	1	24046645	+
8350.m01242	1	7441796	-
8350.m04586	1	28324080	-
8350.m01243	1	7448979	-
8350.m04587	1	28325551	+
8350.m01244	1	7452655	-
8350.m04588	1	28328622	-
8350.m01245	1	7455649	+
8350.m04589	1	28334487	+
8350.m01246	1	7459088	-
8350.m01247	1	7461598	-
8350.m01248	1	7468412	+
8350.m01249	1	7473905	-
8350.m03930	1	24049053	-
8350.m03931	1	24054545	+
8350.m03932	1	24058553	-
8350.m03933	1	24071403	+
8350.m04590	1	28343132	+
8350.m03934	1	24076211	+
8350.m04591	1	28346775	-
8350.m03935	1	24090417	+
8350.m04592	1	28352133	-
8350.m03936	1	24101050	-
8350.m04593	1	28354298	-
8350.m03937	1	24104885	-
8350.m01250	1	7482012	+
8350.m04594	1	28360357	+
8350.m03938	1	24110818	+
8350.m01251	1	7486373	-
8350.m04595	1	28365278	+
8350.m03939	1	24117178	+
8350.m01252	1	7493188	-
8350.m04596	1	28370019	-
8350.m01253	1	7507690	+
8350.m04597	1	28375126	+
8350.m01254	1	7514683	+
8350.m04598	1	28380011	-
8350.m01255	1	7517599	+
8350.m04599	1	28382445	+
8350.m01256	1	7526174	+
8350.m01257	1	7540872	+
8350.m01258	1	7546057	+
8350.m01259	1	7555452	+
8350.m03940	1	24120022	-
8350.m03941	1	24127947	-
8350.m03942	1	24132869	-
8350.m03943	1	24141466	+
8350.m00600	1	3291720	-
8350.m03944	1	24146966	-
8350.m00601	1	3294932	-
8350.m03945	1	24153482	+
8350.m00602	1	3297528	-
8350.m03946	1	24155888	+
8350.m00603	1	3300609	-
8350.m03947	1	24159273	-
8350.m01260	1	7570791	+
8350.m00604	1	3303408	-
8350.m03948	1	24168729	+
8350.m01261	1	7577135	-
8350.m00605	1	3309740	-
8350.m03949	1	24171573	-
8350.m01262	1	7585558	+
8350.m00606	1	3312085	-
8350.m01263	1	7588468	-
8350.m00607	1	3314634	-
8350.m01264	1	7592633	-
8350.m00608	1	3317545	-
8350.m01265	1	7599870	-
8350.m00609	1	3321685	+
8350.m01266	1	7602735	-
8350.m01268	1	7618704	-
8350.m01269	1	7635063	+
8350.m03950	1	24174740	-
8350.m03951	1	24177372	-
8350.m03952	1	24184938	-
8350.m03953	1	24192577	+
8350.m00610	1	3327126	-
8350.m03954	1	24197362	-
8350.m00611	1	3331400	-
8350.m03955	1	24199563	-
8350.m00612	1	3336449	+
8350.m03956	1	24202636	+
8350.m03957	1	24207563	+
8350.m01270	1	7639102	-
8350.m00614	1	3354304	+
8350.m03958	1	24238202	+
8350.m01271	1	7646112	+
8350.m00615	1	3356466	-
8350.m03959	1	24250826	-
8350.m01272	1	7648151	-
8350.m00616	1	3361180	-
8350.m01273	1	7653053	-
8350.m00617	1	3373651	+
8350.m01274	1	7654672	-
8350.m00618	1	3378194	-
8350.m01275	1	7657947	-
8350.m00619	1	3385633	-
8350.m01276	1	7663407	+
8350.m01277	1	7668109	+
8350.m01278	1	7671416	+
8350.m01279	1	7675240	-
8350.m06500	1	39723125	-
8350.m06501	1	39725279	+
8350.m06502	1	39730937	-
8350.m06503	1	39735809	+
8350.m06504	1	39746086	+
8350.m06505	1	39749172	-
8350.m06506	1	39754221	-
8350.m06507	1	39769845	+
8350.m06508	1	39780609	+
8350.m06509	1	39785907	+
8350.m03960	1	24257820	+
8350.m03961	1	24261739	+
8350.m03962	1	24265694	-
8350.m03963	1	24269982	+
8350.m00620	1	3389186	-
8350.m03964	1	24277527	-
8350.m00621	1	3392838	+
8350.m03965	1	24316612	-
8350.m00622	1	3395649	+
8350.m03966	1	24329633	-
8350.m00623	1	3399577	+
8350.m03967	1	24338967	+
8350.m01280	1	7679145	+
8350.m00624	1	3403117	+
8350.m03968	1	24345923	-
8350.m01281	1	7687141	-
8350.m00625	1	3409735	-
8350.m03969	1	24349702	+
8350.m01282	1	7699656	-
8350.m00626	1	3412299	-
8350.m01283	1	7711724	+
8350.m00627	1	3421063	+
8350.m01284	1	7717280	-
8350.m00628	1	3424525	-
8350.m01285	1	7722760	+
8350.m00629	1	3427538	+
8350.m01286	1	7730964	+
8350.m01287	1	7737558	+
8350.m01288	1	7742776	+
8350.m01289	1	7748691	-
8350.m06510	1	39791891	-
8350.m06511	1	39799661	-
8350.m06512	1	39806078	-
8350.m06513	1	39819685	+
8350.m06514	1	39822910	-
8350.m06515	1	39828988	+
8350.m06516	1	39836682	-
8350.m06517	1	39844486	+
8350.m06518	1	39847669	-
8350.m06519	1	39853082	+
8350.m03970	1	24351862	-
8350.m03971	1	24356840	-
8350.m03972	1	24362532	+
8350.m03973	1	24369913	-
8350.m00630	1	3430414	-
8350.m03974	1	24375341	+
8350.m00631	1	3433733	-
8350.m03975	1	24379271	+
8350.m00632	1	3442652	+
8350.m03976	1	24388921	+
8350.m00633	1	3445326	-
8350.m03977	1	24395383	-
8350.m01290	1	7754997	+
8350.m00634	1	3452458	+
8350.m03978	1	24406429	+
8350.m01291	1	7762015	-
8350.m00635	1	3457396	-
8350.m03979	1	24412002	-
8350.m01292	1	7764171	+
8350.m00636	1	3463379	-
8350.m01293	1	7769903	+
8350.m00637	1	3466673	-
8350.m01294	1	7773468	+
8350.m00638	1	3471819	-
8350.m01295	1	7777434	+
8350.m00639	1	3477436	-
8350.m01296	1	7782531	+
8350.m01297	1	7786726	-
8350.m01298	1	7790021	+
8350.m01299	1	7793261	-
8350.m06520	1	39856005	+
8350.m06521	1	39857377	+
8350.m06522	1	39862997	+
8350.m06523	1	39866497	+
8350.m06524	1	39876062	+
8350.m06525	1	39882307	+
8350.m06526	1	39886957	+
8350.m06527	1	39890381	-
8350.m06528	1	39894066	+
8350.m06529	1	39904747	-
8350.m03980	1	24419270	-
8350.m03981	1	24442403	-
8350.m03982	1	24447604	+
8350.m03983	1	24458699	+
8350.m03984	1	24468845	+
8350.m00641	1	3499705	+
8350.m03985	1	24472750	-
8350.m00642	1	3505176	+
8350.m03986	1	24475821	+
8350.m00643	1	3510494	+
8350.m03987	1	24481902	-
8350.m00644	1	3514812	-
8350.m03988	1	24485603	+
8350.m00645	1	3518179	-
8350.m03989	1	24488440	-
8350.m00646	1	3526250	-
8350.m00647	1	3530106	+
8350.m00648	1	3533077	+
8350.m00649	1	3537858	+
8350.m06530	1	39908515	-
8350.m06531	1	39926640	+
8350.m06532	1	39933537	+
8350.m06533	1	39937936	+
8350.m06534	1	39942469	+
8350.m06535	1	39948653	+
8350.m06536	1	39967694	+
8350.m06537	1	39971232	-
8350.m06538	1	39979139	+
8350.m06539	1	39984735	-
8350.m03990	1	24515466	+
8350.m03991	1	24517522	+
8350.m03992	1	24520263	+
8350.m03993	1	24521561	-
8350.m00650	1	3548608	-
8350.m03994	1	24531770	-
8350.m00651	1	3563875	-
8350.m03995	1	24541722	-
8350.m00652	1	3576726	-
8350.m03996	1	24552311	+
8350.m00653	1	3584525	+
8350.m03997	1	24561640	-
8350.m00654	1	3590891	-
8350.m03998	1	24568717	+
8350.m00655	1	3597058	-
8350.m00656	1	3608503	+
8350.m03999	1	24587589	+
8350.m00657	1	3614659	-
8350.m00658	1	3620061	+
8350.m06540	1	39998244	-
8350.m06541	1	40006668	+
8350.m06542	1	40010882	+
8350.m06543	1	40013469	+
8350.m03200	1	19378592	+
8350.m06544	1	40022226	+
8350.m03201	1	19387546	+
8350.m06545	1	40034855	+
8350.m03202	1	19394050	+
8350.m06546	1	40041805	-
8350.m03203	1	19399215	+
8350.m06547	1	40075701	+
8350.m03204	1	19402196	+
8350.m06548	1	40079615	-
8350.m03205	1	19407039	-
8350.m06549	1	40089439	+
8350.m03206	1	19416072	-
8350.m03207	1	19421115	-
8350.m03208	1	19424711	-
8350.m03209	1	19430409	-
8350.m00660	1	3633166	-
8350.m00661	1	3639099	+
8350.m00662	1	3644776	+
8350.m00663	1	3652885	+
8350.m00664	1	3659392	+
8350.m00665	1	3662320	-
8350.m00666	1	3667053	-
8350.m00667	1	3675283	-
8350.m00668	1	3679055	+
8350.m00669	1	3682024	-
8350.m06550	1	40095258	+
8350.m06551	1	40100262	-
8350.m06552	1	40112985	+
8350.m06553	1	40121449	-
8350.m03210	1	19432815	-
8350.m06554	1	40129579	+
8350.m03211	1	19438028	+
8350.m06555	1	40132103	-
8350.m03212	1	19443708	-
8350.m03213	1	19449817	-
8350.m06557	1	40140836	+
8350.m03214	1	19457554	-
8350.m06558	1	40150966	-
8350.m03215	1	19460048	+
8350.m06559	1	40157614	-
8350.m03216	1	19466754	+
8350.m03217	1	19479656	-
8350.m03218	1	19485803	+
8350.m03219	1	19491412	-
8350.m00670	1	3688124	-
8350.m00671	1	3691880	-
8350.m00672	1	3692908	+
8350.m00673	1	3694726	-
8350.m00674	1	3700387	+
8350.m00675	1	3703935	-
8350.m00676	1	3709222	+
8350.m00677	1	3712987	-
8350.m00678	1	3718469	-
8350.m05900	1	36144948	+
8350.m05901	1	36151257	+
8350.m05902	1	36153715	-
8350.m05903	1	36167762	+
8350.m06560	1	40161643	-
8350.m05904	1	36174094	-
8350.m06561	1	40179842	-
8350.m05905	1	36179820	-
8350.m06562	1	40189076	+
8350.m05906	1	36185252	+
8350.m06563	1	40193567	-
8350.m05907	1	36198602	+
8350.m03220	1	19492609	-
8350.m06564	1	40199532	+
8350.m05908	1	36201502	-
8350.m03221	1	19517631	+
8350.m06565	1	40203113	-
8350.m05909	1	36210623	-
8350.m03222	1	19522642	+
8350.m06566	1	40208118	+
8350.m03223	1	19527785	+
8350.m03224	1	19534347	+
8350.m06568	1	40219856	+
8350.m03225	1	19536833	+
8350.m06569	1	40223239	-
8350.m03226	1	19540845	+
8350.m03227	1	19543714	-
8350.m03228	1	19547238	-
8350.m03229	1	19557514	-
8350.m00681	1	3729842	+
8350.m00682	1	3733094	+
8350.m00683	1	3736091	+
8350.m00684	1	3738229	-
8350.m00685	1	3740470	-
8350.m00686	1	3747573	-
8350.m00687	1	3753756	-
8350.m00688	1	3766395	+
8350.m00689	1	3777691	+
8350.m05910	1	36213960	+
8350.m05911	1	36216780	-
8350.m05912	1	36219915	-
8350.m05913	1	36228503	+
8350.m06570	1	40232407	-
8350.m06571	1	40236645	+
8350.m05915	1	36234146	+
8350.m06572	1	40244239	+
8350.m05916	1	36246904	+
8350.m06573	1	40246923	-
8350.m05917	1	36251877	-
8350.m03230	1	19568893	+
8350.m06574	1	40252421	-
8350.m05918	1	36261096	+
8350.m03231	1	19573726	-
8350.m06575	1	40262849	-
8350.m05919	1	36275052	+
8350.m03232	1	19581697	+
8350.m06576	1	40269424	-
8350.m03233	1	19586033	+
8350.m06577	1	40281218	+
8350.m03234	1	19591171	+
8350.m06578	1	40294259	+
8350.m03235	1	19595847	+
8350.m06579	1	40300608	+
8350.m03236	1	19599587	-
8350.m03237	1	19604248	+
8350.m03238	1	19608324	+
8350.m03239	1	19614911	-
8350.m00690	1	3781769	-
8350.m00691	1	3804298	+
8350.m00692	1	3808481	-
8350.m00693	1	3815338	-
8350.m00694	1	3819216	-
8350.m00695	1	3826320	-
8350.m00696	1	3833363	-
8350.m00697	1	3838638	+
8350.m00698	1	3844860	-
8350.m00699	1	3852518	-
8350.m05920	1	36279734	+
8350.m05921	1	36284500	-
8350.m05922	1	36294105	-
8350.m05923	1	36299261	+
8350.m06580	1	40305149	-
8350.m05924	1	36303483	-
8350.m06581	1	40311172	-
8350.m05925	1	36310634	-
8350.m06582	1	40317157	+
8350.m05926	1	36313680	-
8350.m06583	1	40333528	+
8350.m05927	1	36317993	-
8350.m03240	1	19622048	-
8350.m06584	1	40340050	+
8350.m05928	1	36326165	-
8350.m03241	1	19626524	+
8350.m06585	1	40342341	+
8350.m05929	1	36339633	-
8350.m03242	1	19629131	-
8350.m06586	1	40345708	-
8350.m03243	1	19632415	+
8350.m06587	1	40350646	-
8350.m03244	1	19634750	-
8350.m03245	1	19640890	+
8350.m06589	1	40375980	+
8350.m03246	1	19645278	+
8350.m03247	1	19648509	-
8350.m03248	1	19650484	-
8350.m03249	1	19653258	+
8350.m05930	1	36345109	+
8350.m05931	1	36351379	+
8350.m05932	1	36359669	+
8350.m05933	1	36367721	+
8350.m06590	1	40384275	-
8350.m05934	1	36373746	+
8350.m06591	1	40391111	-
8350.m05935	1	36378160	-
8350.m06592	1	40396504	-
8350.m05936	1	36385848	-
8350.m06593	1	40404184	-
8350.m05937	1	36390980	-
8350.m03250	1	19660851	+
8350.m06594	1	40411287	-
8350.m05938	1	36399786	+
8350.m03251	1	19667033	+
8350.m06595	1	40418297	+
8350.m05939	1	36405746	-
8350.m03252	1	19669734	+
8350.m06596	1	40422725	-
8350.m03253	1	19673327	-
8350.m06597	1	40426096	+
8350.m03254	1	19680340	+
8350.m06598	1	40430949	-
8350.m03255	1	19683770	-
8350.m06599	1	40433100	-
8350.m03256	1	19688330	-
8350.m03257	1	19699549	+
8350.m03259	1	19706044	-
8350.m05940	1	36417668	-
8350.m05941	1	36422071	-
8350.m05942	1	36424114	+
8350.m05943	1	36430249	-
8350.m02600	1	15804430	+
8350.m05944	1	36436845	-
8350.m02601	1	15807280	-
8350.m05945	1	36439403	-
8350.m02602	1	15816688	-
8350.m05946	1	36444776	-
8350.m02603	1	15827697	-
8350.m05947	1	36451952	-
8350.m03260	1	19709803	-
8350.m02604	1	15833762	-
8350.m05948	1	36454962	-
8350.m03261	1	19718153	-
8350.m02605	1	15841853	+
8350.m05949	1	36458010	+
8350.m03262	1	19726266	+
8350.m02606	1	15843992	+
8350.m03263	1	19730274	-
8350.m02607	1	15847903	-
8350.m03264	1	19734738	+
8350.m02608	1	15851042	-
8350.m03265	1	19742140	-
8350.m02609	1	15853870	-
8350.m03266	1	19748104	+
8350.m03267	1	19754006	+
8350.m03268	1	19756219	-
8350.m03269	1	19758698	+
8350.m05950	1	36461339	+
8350.m05951	1	36463133	-
8350.m05952	1	36466189	+
8350.m05953	1	36469687	-
8350.m02610	1	15857995	+
8350.m05954	1	36481380	+
8350.m02611	1	15869367	+
8350.m05955	1	36484382	-
8350.m02612	1	15872147	+
8350.m05956	1	36489682	+
8350.m02613	1	15875525	+
8350.m05957	1	36493412	+
8350.m03270	1	19764568	+
8350.m02614	1	15879493	+
8350.m05958	1	36496970	-
8350.m03271	1	19767974	+
8350.m02615	1	15882273	-
8350.m05959	1	36503852	+
8350.m03272	1	19769586	+
8350.m02616	1	15889635	-
8350.m03273	1	19772780	-
8350.m02617	1	15892015	+
8350.m03274	1	19780390	+
8350.m02618	1	15894651	-
8350.m03275	1	19787125	-
8350.m02619	1	15900736	+
8350.m03276	1	19792209	-
8350.m03277	1	19798847	-
8350.m03278	1	19805861	+
8350.m03279	1	19810066	+
8350.m05960	1	36528013	+
8350.m05961	1	36536300	-
8350.m05962	1	36540686	+
8350.m05963	1	36546699	-
8350.m02620	1	15907903	-
8350.m05964	1	36553184	+
8350.m02621	1	15910127	-
8350.m05965	1	36560263	+
8350.m02622	1	15914011	-
8350.m05966	1	36573998	+
8350.m02623	1	15920848	+
8350.m05967	1	36581924	-
8350.m03280	1	19817563	-
8350.m02624	1	15925211	-
8350.m05968	1	36588359	-
8350.m03281	1	19839645	+
8350.m02625	1	15928735	+
8350.m05969	1	36591973	+
8350.m03282	1	19848746	-
8350.m02626	1	15936904	-
8350.m03283	1	19872621	-
8350.m02627	1	15943941	+
8350.m03284	1	19877010	+
8350.m02628	1	15948319	-
8350.m03285	1	19889503	+
8350.m02629	1	15953511	+
8350.m03286	1	19899989	+
8350.m03287	1	19901704	+
8350.m03288	1	19914929	-
8350.m03289	1	19917812	-
8350.m05970	1	36597804	-
8350.m05971	1	36609300	-
8350.m05972	1	36621184	-
8350.m05973	1	36628920	+
8350.m02630	1	15959060	+
8350.m05974	1	36637882	+
8350.m02631	1	15964834	+
8350.m05975	1	36644825	+
8350.m02632	1	15975071	+
8350.m05976	1	36648620	-
8350.m02633	1	15986995	+
8350.m05977	1	36652416	+
8350.m03290	1	19921895	+
8350.m02634	1	15994457	-
8350.m05978	1	36667048	-
8350.m03291	1	19928161	-
8350.m02635	1	16002784	-
8350.m03292	1	19930266	+
8350.m02636	1	16004280	+
8350.m05979	1	36671105	+
8350.m03293	1	19939663	+
8350.m02637	1	16010777	+
8350.m03294	1	19948859	+
8350.m02638	1	16015408	-
8350.m03295	1	19963922	-
8350.m02639	1	16028971	+
8350.m03296	1	19972090	+
8350.m03297	1	19982034	-
8350.m03298	1	19989032	+
8350.m03299	1	19991697	-
8350.m05980	1	36676753	-
8350.m05981	1	36683648	-
8350.m05982	1	36687577	+
8350.m05983	1	36693959	-
8350.m02640	1	16033256	+
8350.m05984	1	36697524	+
8350.m02641	1	16037031	+
8350.m05985	1	36711005	-
8350.m02642	1	16045688	-
8350.m05986	1	36714424	+
8350.m02643	1	16053732	+
8350.m05987	1	36717021	-
8350.m02644	1	16058041	-
8350.m02645	1	16061638	-
8350.m05988	1	36732825	+
8350.m02646	1	16068098	+
8350.m05989	1	36736214	+
8350.m02647	1	16069706	-
8350.m02648	1	16075910	-
8350.m02649	1	16080163	+
8350.m05990	1	36741860	-
8350.m05991	1	36745636	+
8350.m05992	1	36750407	+
8350.m05993	1	36755435	+
8350.m02650	1	16085429	+
8350.m05994	1	36760830	-
8350.m02651	1	16090912	-
8350.m05995	1	36768020	-
8350.m02652	1	16096323	-
8350.m05996	1	36774505	-
8350.m02653	1	16105720	+
8350.m02654	1	16112155	-
8350.m05997	1	36778043	-
8350.m02655	1	16120647	+
8350.m05998	1	36782430	-
8350.m02656	1	16129475	-
8350.m05999	1	36795107	+
8350.m02657	1	16130936	+
8350.m02658	1	16134159	-
8350.m02659	1	16140358	-
8350.m05200	1	31892633	-
8350.m05201	1	31909994	+
8350.m05202	1	31912639	-
8350.m05203	1	31915379	-
8350.m05204	1	31919753	+
8350.m05205	1	31923078	+
8350.m05206	1	31927337	+
8350.m05207	1	31930394	-
8350.m05208	1	31935053	-
8350.m05209	1	31940142	-
8350.m02660	1	16143468	-
8350.m02661	1	16150797	+
8350.m02662	1	16156670	+
8350.m02663	1	16161565	+
8350.m02664	1	16168358	-
8350.m02665	1	16172273	-
8350.m02666	1	16177156	-
8350.m02667	1	16180076	-
8350.m02668	1	16186682	+
8350.m02669	1	16190976	+
8350.m05210	1	31950546	+
8350.m05211	1	31954325	+
8350.m05212	1	31958344	-
8350.m05213	1	31964769	-
8350.m05214	1	31972590	-
8350.m05215	1	31976586	+
8350.m05216	1	31993665	+
8350.m05217	1	31998173	-
8350.m05218	1	32001134	-
8350.m05219	1	32008010	+
8350.m02670	1	16198310	-
8350.m02671	1	16207118	+
8350.m02672	1	16208453	+
8350.m02673	1	16210344	-
8350.m02674	1	16215240	-
8350.m02675	1	16231213	-
8350.m02676	1	16234668	-
8350.m02677	1	16236171	-
8350.m02678	1	16240555	-
8350.m02679	1	16250183	-
8350.m05220	1	32013186	-
8350.m05221	1	32016777	-
8350.m05222	1	32019017	-
8350.m05223	1	32022797	-
8350.m05224	1	32025358	-
8350.m05225	1	32029884	+
8350.m05226	1	32035847	-
8350.m05227	1	32038613	-
8350.m05228	1	32044547	-
8350.m05229	1	32053184	+
8350.m02680	1	16262762	+
8350.m02681	1	16266146	+
8350.m02682	1	16271252	-
8350.m02683	1	16280521	+
8350.m02684	1	16284849	+
8350.m02685	1	16287027	-
8350.m02686	1	16290528	+
8350.m02687	1	16307004	+
8350.m02688	1	16315950	-
8350.m02689	1	16319288	-
8350.m05230	1	32056028	-
8350.m05231	1	32058178	-
8350.m05232	1	32062196	-
8350.m05233	1	32074349	-
8350.m05234	1	32079235	+
8350.m05235	1	32085376	+
8350.m05236	1	32090096	+
8350.m05237	1	32095928	+
8350.m05238	1	32105767	-
