PubLocus	Chromosome	Class	MidPoint	Strand	Pseudo	Curated	GeneLen	ProLength	CDSLen	Iso	Exon	CDS	GS5	GS3
At5g53045	5	annotated_genes	21526198	-	0	0	1176	0	0	0	4	4	21526786 	21525611 	
At5g53050	5	annotated_genes	21529061	-	0	0	3373	0	0	1	11	9	21530733 	21527361 	
At5g53060	5	annotated_genes	21533957	+	0	0	3412	0	0	0	8	8	21532252 	21535663 	
At5g53070	5	annotated_genes	21536722	+	0	0	1807	0	0	0	6	5	21535819 	21537625 	
At5g53080	5	annotated_genes	21539115	+	0	0	2754	0	0	0	9	9	21537739 	21540492 	
At5g53090	5	annotated_genes	21541735	+	0	0	2105	0	0	0	7	7	21540683 	21542787 	
At5g53100	5	annotated_genes	21544512	+	0	0	2074	0	0	0	7	7	21543476 	21545549 	
At5g26980	5	annotated_genes	9489485	-	0	0	2650	0	0	0	8	8	9490810 	9488161 	
At5g26990	5	annotated_genes	9492505	+	0	0	2274	0	0	0	5	5	9491369 	9493642 	
At5g27000	5	annotated_genes	9500596	+	0	0	5083	0	0	0	19	19	9498055 	9503137 	
At5g27010	5	annotated_genes	9505445	-	0	0	4255	0	0	0	19	19	9507572 	9503318 	
At5g32628	5	annotated_genes	12318163	-	1	0	1203	0	0	0	1	1	12318764 	12317562 	
At5g27020	5	annotated_genes	9508437	+	0	0	495	0	0	0	1	1	9508190 	9508684 	
At5g32630	5	annotated_genes	12330032	-	1	0	4531	0	0	0	1	1	12332297 	12327767 	
At5g27030	5	annotated_genes	9512078	-	0	0	6642	0	0	0	25	25	9515399 	9508758 	
At5g27035	5	annotated_genes	9516592	-	1	0	239	0	0	0	1	1	9516711 	9516473 	
At5g32654	5	annotated_genes	12336799	-	1	0	3531	0	0	0	1	1	12338564 	12335034 	
At5g27037	5	annotated_genes	9517791	+	1	0	706	0	0	0	1	1	9517439 	9518144 	
At5g03120	5	annotated_genes	734460	+	0	0	965	0	0	0	3	3	733978 	734942 	
At5g27043	5	annotated_genes	9519858	-	1	0	400	0	0	0	1	1	9520058 	9519659 	
At5g03130	5	annotated_genes	736354	+	0	0	411	0	0	0	2	2	736149 	736559 	
At5g32678	5	annotated_genes	12345508	+	1	0	2796	0	0	0	1	1	12344111 	12346906 	
At5g27050	5	annotated_genes	9520460	+	0	0	363	0	0	0	1	1	9520279 	9520641 	
At5g03140	5	annotated_genes	738802	-	0	0	2427	0	0	0	1	1	740015 	737589 	
At5g03150	5	annotated_genes	747322	+	0	0	3360	0	0	0	4	4	745643 	749002 	
At5g32702	5	annotated_genes	12351451	-	1	0	2673	0	0	0	1	1	12352787 	12350115 	
At5g03160	5	annotated_genes	751888	+	0	0	3536	0	0	0	9	9	750121 	753656 	
At5g03170	5	annotated_genes	753215	-	0	0	882	0	0	0	1	1	753656 	752775 	
At5g32726	5	annotated_genes	12358426	-	1	0	1962	0	0	0	1	1	12359407 	12357446 	
At5g03180	5	annotated_genes	755297	-	0	0	2696	0	0	0	6	6	756645 	753950 	
At5g03190	5	annotated_genes	759383	+	0	0	1997	0	0	0	1	1	758385 	760381 	
At5g03200	5	annotated_genes	761061	-	0	0	1483	0	0	0	3	3	761802 	760320 	
At5g03210	5	annotated_genes	763053	-	0	0	535	0	0	0	1	1	763320 	762786 	
At5g53110	5	annotated_genes	21546609	+	0	0	723	0	0	0	1	1	21546248 	21546970 	
At5g53120	5	annotated_genes	21553627	+	0	0	3695	0	0	2	11	10	21551780 	21555474 	
At5g53130	5	annotated_genes	21556533	-	0	0	3445	0	0	0	8	7	21558255 	21554811 	
At5g53135	5	annotated_genes	21561968	+	1	0	3627	0	0	0	1	1	21560155 	21563781 	
At5g53140	5	annotated_genes	21567698	+	0	0	3996	0	0	0	9	8	21565701 	21569696 	
At5g53150	5	annotated_genes	21573367	+	0	0	2701	0	0	0	1	1	21572017 	21574717 	
At5g53160	5	annotated_genes	21578715	+	0	0	1543	0	0	1	2	2	21577944 	21579486 	
At5g53170	5	annotated_genes	21582601	-	0	0	5257	0	0	0	17	17	21585229 	21579973 	
At5g27060	5	annotated_genes	9523973	-	0	0	2874	0	0	0	1	1	9525410 	9522537 	
At5g53180	5	annotated_genes	21587270	-	0	0	3690	0	0	0	10	9	21589115 	21585426 	
At5g27070	5	annotated_genes	9528175	+	0	0	864	0	0	0	1	1	9527744 	9528607 	
At5g27080	5	annotated_genes	9530345	-	0	0	1479	0	0	0	2	2	9531084 	9529606 	
At5g27090	5	annotated_genes	9532129	+	0	0	564	0	0	0	1	1	9531848 	9532411 	
At5g32750	5	annotated_genes	12363309	-	1	0	5709	0	0	0	1	1	12366163 	12360455 	
At5g32775	5	annotated_genes	12367424	-	0	0	897	0	0	0	2	2	12367872 	12366976 	
At5g27095	5	annotated_genes	9533318	+	1	0	668	0	0	0	1	1	9532985 	9533652 	
At5g32800	5	annotated_genes	12370177	+	1	0	538	0	0	0	1	1	12369909 	12370446 	
At5g27100	5	annotated_genes	9536722	-	0	0	3229	0	0	0	5	5	9538336 	9535108 	
At5g32825	5	annotated_genes	12374436	-	1	0	6731	0	0	0	1	1	12377801 	12371071 	
At5g27110	5	annotated_genes	9539612	-	0	0	2076	0	0	0	1	1	9540650 	9538575 	
At5g03220	5	annotated_genes	768172	-	0	0	1369	0	0	0	6	5	768856 	767488 	
At5g32850	5	annotated_genes	12379879	+	1	0	2469	0	0	0	1	1	12378645 	12381113 	
At5g27120	5	annotated_genes	9542401	+	0	0	2947	0	0	0	9	8	9540928 	9543874 	
At5g03230	5	annotated_genes	769948	+	0	0	872	0	0	0	1	1	769513 	770384 	
At5g32875	5	annotated_genes	12386296	-	1	0	2376	0	0	0	1	1	12387484 	12385109 	
At5g27130	5	annotated_genes	9547053	+	0	0	1007	0	0	0	1	1	9546550 	9547556 	
At5g03240	5	annotated_genes	772555	-	0	0	1609	0	0	1	2	1	773359 	771751 	
At5g32900	5	annotated_genes	12390829	-	1	0	588	0	0	0	1	1	12391123 	12390536 	
At5g03250	5	annotated_genes	775722	+	0	0	2265	0	0	0	4	4	774590 	776854 	
At5g32925	5	annotated_genes	12400905	+	1	0	3594	0	0	0	1	1	12399109 	12402702 	
At5g03260	5	annotated_genes	778221	-	0	0	2404	0	0	0	6	6	779423 	777020 	
At5g32950	5	annotated_genes	12404907	+	1	0	2394	0	0	0	1	1	12403711 	12406104 	
At5g03270	5	annotated_genes	782932	+	0	0	2128	0	0	0	6	6	781869 	783996 	
At5g32975	5	annotated_genes	12409680	+	1	0	1329	0	0	0	1	1	12409016 	12410344 	
At5g03280	5	annotated_genes	790413	+	0	0	5884	0	0	0	8	7	787472 	793355 	
At5g03290	5	annotated_genes	794989	+	0	0	2012	0	0	0	7	7	793984 	795995 	
At5g53190	5	annotated_genes	21590576	-	0	0	1868	0	0	0	6	6	21591510 	21589643 	
At5g53200	5	annotated_genes	21600685	+	0	0	1372	0	0	0	3	3	21600000 	21601371 	
At5g53210	5	annotated_genes	21604999	-	0	0	2336	0	0	0	4	4	21606167 	21603832 	
At5g53220	5	annotated_genes	21614353	+	0	0	1755	0	0	0	3	3	21613476 	21615230 	
At5g53230	5	annotated_genes	21616630	+	0	0	1077	0	0	0	1	1	21616092 	21617168 	
At5g53240	5	annotated_genes	21619334	+	0	0	1256	0	0	0	1	1	21618707 	21619962 	
At5g53250	5	annotated_genes	21621151	+	0	0	612	0	0	0	2	2	21620846 	21621457 	
At5g53260	5	annotated_genes	21622394	-	0	0	1013	0	0	0	2	2	21622900 	21621888 	
At5g27140	5	annotated_genes	9549572	+	0	0	2056	0	0	0	8	8	9548545 	9550600 	
At5g53270	5	annotated_genes	21623736	-	0	0	480	0	0	0	1	1	21623976 	21623497 	
At5g27150	5	annotated_genes	9555478	+	0	0	4076	0	0	0	14	13	9553441 	9557516 	
At5g27160	5	annotated_genes	9564221	+	0	0	3246	0	0	0	6	6	9562599 	9565844 	
At5g27170	5	annotated_genes	9566212	+	0	0	406	0	0	0	2	2	9566010 	9566415 	
At5g27180	5	annotated_genes	9566972	-	0	0	414	0	0	0	1	1	9567179 	9566766 	
At5g27190	5	annotated_genes	9569545	-	1	0	3245	0	0	0	1	1	9571167 	9567923 	
At5g27200	5	annotated_genes	9571590	+	0	0	805	0	0	0	4	4	9571188 	9571992 	
At5g27210	5	annotated_genes	9573120	-	0	0	2036	0	0	0	6	6	9574138 	9572103 	
At5g03300	5	annotated_genes	797797	+	0	0	2713	0	0	0	11	11	796441 	799153 	
At5g27220	5	annotated_genes	9580757	+	0	0	3996	0	0	0	4	4	9578760 	9582755 	
At5g03310	5	annotated_genes	799473	-	0	0	345	0	0	0	1	1	799645 	799301 	
At5g27230	5	annotated_genes	9586049	+	0	0	3584	0	0	0	6	6	9584258 	9587841 	
At5g03320	5	annotated_genes	803226	+	0	0	2343	0	0	0	5	4	802055 	804397 	
At5g03330	5	annotated_genes	808391	+	0	0	2742	0	0	1	11	10	807021 	809762 	
At5g03340	5	annotated_genes	811587	-	0	0	3281	0	0	0	5	5	813227 	809947 	
At5g03345	5	annotated_genes	814870	+	0	0	1497	0	0	0	4	4	814122 	815618 	
At5g03350	5	annotated_genes	816165	-	0	0	985	0	0	0	1	1	816657 	815673 	
At5g03360	5	annotated_genes	821550	+	0	0	7196	0	0	0	8	8	817953 	825148 	
At5g03370	5	annotated_genes	826302	-	0	0	1462	0	0	0	2	2	827033 	825572 	
At5g03380	5	annotated_genes	833254	-	0	0	2304	0	0	0	5	5	834406 	832103 	
At5g53280	5	annotated_genes	21625646	+	0	0	1828	0	0	0	2	2	21624733 	21626560 	
At5g53290	5	annotated_genes	21635766	-	0	0	1455	0	0	0	1	1	21636493 	21635039 	
At5g53300	5	annotated_genes	21650587	-	0	0	1696	0	0	1	5	4	21651435 	21649740 	
At5g53310	5	annotated_genes	21652853	+	0	0	2041	0	0	0	4	4	21651833 	21653873 	
At5g53320	5	annotated_genes	21654458	-	0	0	2328	0	0	0	2	2	21655622 	21653295 	
At5g53330	5	annotated_genes	21657316	+	0	0	1747	0	0	0	5	5	21656443 	21658189 	
At5g53340	5	annotated_genes	21659377	-	0	0	2668	0	0	0	12	12	21660711 	21658044 	
At5g53350	5	annotated_genes	21663028	+	0	0	3810	0	0	0	15	15	21661124 	21664933 	
At5g53360	5	annotated_genes	21665993	+	0	0	1616	0	0	0	3	2	21665186 	21666801 	
At5g27240	5	annotated_genes	9599212	+	0	0	3315	0	0	0	1	1	9597555 	9600869 	
At5g53370	5	annotated_genes	21667788	-	0	0	2062	0	0	0	2	2	21668819 	21666758 	
At5g27250	5	annotated_genes	9602346	+	1	0	1342	0	0	0	4	4	9601676 	9603017 	
At5g27260	5	annotated_genes	9604439	+	0	0	988	0	0	0	2	2	9603946 	9604933 	
At5g27270	5	annotated_genes	9607721	+	0	0	4138	0	0	0	8	8	9605653 	9609790 	
At5g27280	5	annotated_genes	9617986	+	0	0	996	0	0	0	3	3	9617489 	9618484 	
At5g03390	5	annotated_genes	835868	+	0	0	1764	0	0	0	2	2	834987 	836750 	
At5g03400	5	annotated_genes	838559	-	0	0	1284	0	0	0	2	2	839201 	837918 	
At5g27290	5	annotated_genes	9619257	-	0	0	2559	0	0	0	7	7	9620536 	9617978 	
At5g03415	5	annotated_genes	843955	+	0	0	2913	0	0	0	10	9	842499 	845411 	
At5g03420	5	annotated_genes	847120	+	0	0	2962	0	0	0	10	10	845640 	848601 	
At5g03430	5	annotated_genes	850978	-	0	0	4232	0	0	0	17	16	853094 	848863 	
At5g03435	5	annotated_genes	854528	-	0	0	2329	0	0	0	2	2	855692 	853364 	
At5g03440	5	annotated_genes	857676	-	0	0	1557	0	0	1	5	4	858427 	856871 	
At5g03450	5	annotated_genes	860532	-	0	0	3529	0	0	0	10	10	862296 	858768 	
At5g03455	5	annotated_genes	863332	+	0	0	1550	0	0	0	3	3	862558 	864107 	
At5g03460	5	annotated_genes	864976	+	0	0	1393	0	0	0	4	4	864280 	865672 	
At5g47930	5	annotated_genes	19424013	-	0	0	1222	0	0	0	4	4	19424624 	19423403 	
At5g47940	5	annotated_genes	19427793	-	0	0	2652	0	0	0	3	3	19429119 	19426468 	
At5g47950	5	annotated_genes	19435014	-	0	0	1516	0	0	0	1	1	19435772 	19434257 	
At5g53380	5	annotated_genes	21672796	+	0	0	1939	0	0	0	7	7	21671827 	21673765 	
At5g47960	5	annotated_genes	19439184	-	0	0	1150	0	0	0	2	2	19439759 	19438610 	
At5g53390	5	annotated_genes	21675241	-	0	0	2495	0	0	0	7	7	21676488 	21673994 	
At5g47970	5	annotated_genes	19441230	+	0	0	3603	0	0	0	12	11	19439429 	19443031 	
At5g53400	5	annotated_genes	21679743	+	0	0	2110	0	0	0	6	6	21678689 	21680798 	
At5g47980	5	annotated_genes	19446908	+	0	0	1589	0	0	0	1	1	19446114 	19447702 	
At5g53410	5	annotated_genes	21685218	+	0	0	108	0	0	0	1	1	21685165 	21685272 	
At5g47990	5	annotated_genes	19452984	+	0	0	1863	0	0	0	2	2	19452053 	19453915 	
At5g48000	5	annotated_genes	19462861	-	0	0	3680	0	0	2	9	8	19465076 	19461397 	
At5g53420	5	annotated_genes	21691857	+	0	0	2204	0	0	0	4	4	21690756 	21692959 	
At5g53430	5	annotated_genes	21697546	+	0	0	6349	0	0	0	23	23	21694372 	21700720 	
At5g53440	5	annotated_genes	21703050	-	0	0	4292	0	0	0	5	5	21705196 	21700905 	
At5g53450	5	annotated_genes	21707827	+	0	0	3657	0	0	1	14	13	21705999 	21709655 	
At5g27300	5	annotated_genes	9622496	+	0	0	3367	0	0	0	10	10	9620813 	9624179 	
At5g27310	5	annotated_genes	9626008	+	0	0	1113	0	0	0	1	1	9625452 	9626564 	
At5g27320	5	annotated_genes	9630154	+	0	0	2119	0	0	0	2	2	9629095 	9631213 	
At5g27330	5	annotated_genes	9633796	-	0	0	2181	0	0	0	1	1	9634886 	9632706 	
At5g27340	5	annotated_genes	9636387	+	0	0	1000	0	0	0	4	4	9635888 	9636887 	
At5g27345	5	annotated_genes	9642714	-	1	0	2413	0	0	0	1	1	9643920 	9641508 	
At5g27350	5	annotated_genes	9651549	+	0	0	5760	0	0	0	18	18	9648670 	9654429 	
At5g03470	5	annotated_genes	867735	+	0	0	2576	0	0	0	2	2	866448 	869023 	
At5g27360	5	annotated_genes	9659795	+	0	0	5534	0	0	0	18	18	9657029 	9662562 	
At5g03480	5	annotated_genes	870030	-	0	0	1648	0	0	0	8	8	870854 	869207 	
At5g27370	5	annotated_genes	9667601	+	0	0	576	0	0	0	1	1	9667314 	9667889 	
At5g03490	5	annotated_genes	872252	+	0	0	1588	0	0	0	1	1	871459 	873046 	
At5g03500	5	annotated_genes	875572	-	0	0	4174	0	0	0	12	12	877659 	873486 	
At5g03510	5	annotated_genes	880738	+	0	0	1029	0	0	0	1	1	880224 	881252 	
At5g03520	5	annotated_genes	884433	+	0	0	1976	0	0	0	8	8	883446 	885421 	
At5g03530	5	annotated_genes	886455	-	0	0	1869	0	0	0	6	6	887389 	885521 	
At5g03540	5	annotated_genes	891860	+	0	0	4591	0	0	0	12	12	889565 	894155 	
At5g03545	5	annotated_genes	895052	+	0	0	695	0	0	0	1	1	894705 	895399 	
At5g03550	5	annotated_genes	895978	-	0	0	333	0	0	0	1	1	896144 	895812 	
At5g48010	5	annotated_genes	19476535	+	0	0	4699	0	0	0	13	13	19474186 	19478884 	
At5g48020	5	annotated_genes	19481033	-	0	0	2300	0	0	0	7	7	19482183 	19479884 	
At5g48030	5	annotated_genes	19485216	-	0	0	3825	0	0	0	18	18	19487128 	19483304 	
At5g48040	5	annotated_genes	19488321	+	0	0	1269	0	0	0	1	1	19487687 	19488955 	
At5g53460	5	annotated_genes	21722299	+	0	0	9112	0	0	0	20	20	21717744 	21726855 	
At5g48050	5	annotated_genes	19490441	-	0	0	1110	0	0	0	1	1	19490996 	19489887 	
At5g53470	5	annotated_genes	21728706	+	0	0	2260	0	0	0	6	6	21727577 	21729836 	
At5g48060	5	annotated_genes	19494375	+	0	0	3707	0	0	0	2	2	19492522 	19496228 	
At5g53480	5	annotated_genes	21732800	+	0	0	4417	0	0	0	3	2	21730592 	21735008 	
At5g48070	5	annotated_genes	19499999	+	0	0	1284	0	0	0	3	3	19499358 	19500641 	
At5g53490	5	annotated_genes	21741211	-	0	0	1314	0	0	1	4	4	21741868 	21740555 	
At5g48080	5	annotated_genes	19501794	+	0	0	808	0	0	0	2	2	19501391 	19502198 	
At5g53500	5	annotated_genes	21744596	-	0	0	3860	0	0	0	6	5	21746526 	21742667 	
At5g48090	5	annotated_genes	19504034	+	0	0	3150	0	0	0	15	15	19502460 	19505609 	
At5g53510	5	annotated_genes	21757691	+	0	0	3234	0	0	0	6	6	21756075 	21759308 	
At5g48100	5	annotated_genes	19508261	-	0	0	3418	0	0	0	6	6	19509970 	19506553 	
At5g53520	5	annotated_genes	21761941	+	0	0	2532	0	0	0	5	5	21760676 	21763207 	
At5g53530	5	annotated_genes	21764529	-	0	0	2522	0	0	0	12	11	21765790 	21763269 	
At5g53540	5	annotated_genes	21767487	-	0	0	1952	0	0	0	5	5	21768463 	21766512 	
At5g27380	5	annotated_genes	9669448	-	0	0	2820	0	0	0	12	12	9670858 	9668039 	
At5g53550	5	annotated_genes	21774654	+	0	0	2696	0	0	0	7	7	21773307 	21776002 	
At5g27390	5	annotated_genes	9673984	-	0	0	4274	0	0	0	17	17	9676121 	9671848 	
At5g27400	5	annotated_genes	9677428	+	0	0	2156	0	0	0	10	10	9676351 	9678506 	
At5g27410	5	annotated_genes	9680869	+	0	0	4149	0	0	0	20	19	9678795 	9682943 	
At5g27420	5	annotated_genes	9684819	+	0	0	1490	0	0	0	1	1	9684075 	9685564 	
At5g27430	5	annotated_genes	9688378	+	0	0	1977	0	0	0	6	6	9687390 	9689366 	
At5g27440	5	annotated_genes	9689907	-	0	0	814	0	0	0	1	1	9690314 	9689501 	
At5g27450	5	annotated_genes	9691920	+	0	0	2615	0	0	1	6	5	9690613 	9693227 	
At5g03555	5	annotated_genes	899199	-	0	0	1919	0	0	0	1	1	900158 	898240 	
At5g03560	5	annotated_genes	901601	-	0	0	2279	0	0	0	3	3	902740 	900462 	
At5g27460	5	annotated_genes	9694041	-	0	0	1554	0	0	0	2	2	9694818 	9693265 	
At5g03570	5	annotated_genes	905575	+	0	0	2176	0	0	0	7	7	904488 	906663 	
At5g03580	5	annotated_genes	907188	-	0	0	467	0	0	0	2	2	907421 	906955 	
At5g03590	5	annotated_genes	909355	+	0	0	1587	0	0	0	5	5	908562 	910148 	
At5g03600	5	annotated_genes	913515	+	0	0	1420	0	0	0	4	4	912806 	914225 	
At5g03610	5	annotated_genes	916999	+	0	0	2971	0	0	0	5	5	915514 	918484 	
At5g03620	5	annotated_genes	920305	+	0	0	3137	0	0	0	11	11	918737 	921873 	
At5g03630	5	annotated_genes	923420	-	0	0	2512	0	0	0	10	10	924676 	922165 	
At5g48110	5	annotated_genes	19519983	-	0	0	3201	0	0	0	8	8	19521583 	19518383 	
At5g48120	5	annotated_genes	19528588	-	0	0	6824	0	0	0	19	19	19532000 	19525177 	
At5g48130	5	annotated_genes	19534596	+	0	0	2160	0	0	0	4	4	19533517 	19535676 	
At5g48140	5	annotated_genes	19536874	-	0	0	1757	0	0	0	4	4	19537752 	19535996 	
At5g53560	5	annotated_genes	21777220	+	0	0	1168	0	0	0	4	3	21776637 	21777804 	
At5g48150	5	annotated_genes	19540662	-	0	0	2355	0	0	1	3	2	19541839 	19539485 	
At5g53570	5	annotated_genes	21779252	-	0	0	2873	0	0	0	5	5	21780688 	21777816 	
At5g48160	5	annotated_genes	19546285	-	0	0	2446	0	0	0	3	2	19547508 	19545063 	
At5g53580	5	annotated_genes	21783257	-	0	0	1906	0	0	0	7	7	21784210 	21782305 	
At5g48170	5	annotated_genes	19550095	-	0	0	666	0	0	0	1	1	19550428 	19549763 	
At5g53590	5	annotated_genes	21789533	+	0	0	974	0	0	0	1	1	21789047 	21790020 	
At5g48175	5	annotated_genes	19556714	+	0	0	586	0	0	0	2	2	19556422 	19557007 	
At5g53600	5	annotated_genes	21794500	+	0	0	336	0	0	0	1	1	21794333 	21794668 	
At5g48180	5	annotated_genes	19558906	-	0	0	1487	0	0	0	2	2	19559649 	19558163 	
At5g53610	5	annotated_genes	21796453	+	0	0	333	0	0	0	1	1	21796287 	21796619 	
At5g48190	5	annotated_genes	19561050	+	0	0	691	0	0	0	2	2	19560705 	19561395 	
At5g53620	5	annotated_genes	21800308	+	0	0	4261	0	0	1	15	14	21798178 	21802438 	
At5g53640	5	annotated_genes	21805570	-	0	0	4692	0	0	0	7	7	21807916 	21803225 	
At5g53650	5	annotated_genes	21809034	+	0	0	1264	0	0	0	2	2	21808403 	21809666 	
At5g53660	5	annotated_genes	21812508	+	0	0	1294	0	0	0	3	3	21811862 	21813155 	
At5g27470	5	annotated_genes	9696201	+	0	0	2382	0	0	0	8	8	9695011 	9697392 	
At5g27480	5	annotated_genes	9700599	+	1	0	2136	0	0	0	1	1	9699532 	9701667 	
